epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
132,3022.33,0.95549,1.83286,0.91268,0.93218,0.96859,0.96561,0.7675,0.57506,25.6365,0.61297,0.000193487,0.000193487,0.000193487
133,3044.31,1.03648,1.96492,0.94423,0.93218,0.96859,0.96561,0.7675,0.57506,25.6365,0.61297,0.000184055,0.000184055,0.000184055
134,3066.39,1.02827,1.86751,0.94823,0.93145,0.96891,0.96351,0.77476,0.56557,27.1512,0.61206,0.000174624,0.000174624,0.000174624
135,3088.86,0.91089,1.66644,0.90895,0.93501,0.97891,0.96526,0.77225,0.55818,28.9877,0.61068,0.000165192,0.000165192,0.000165192
136,3111.27,0.97645,2.16137,0.91483,0.93501,0.97891,0.96526,0.77225,0.55818,28.9877,0.61068,0.000155761,0.000155761,0.000155761
137,3134.07,0.92045,1.78418,0.90944,0.93534,0.97892,0.9639,0.77848,0.5553,30.762,0.60929,0.00014633,0.00014633,0.00014633
138,3158.1,0.96724,1.90748,0.92971,0.93534,0.97892,0.9639,0.77848,0.5553,30.762,0.60929,0.000136898,0.000136898,0.000136898
139,3180.22,0.98425,1.78298,0.91028,0.93591,0.97844,0.96457,0.78441,0.55398,31.2697,0.60853,0.000127467,0.000127467,0.000127467
140,3202.44,0.99651,1.89779,0.9087,0.93564,0.97942,0.96363,0.78153,0.55536,31.4991,0.60775,0.000118035,0.000118035,0.000118035
141,3224.65,0.88684,1.84369,0.85771,0.93564,0.97942,0.96363,0.78153,0.55536,31.4991,0.60775,0.000108604,0.000108604,0.000108604
142,3246.44,0.89711,1.70476,0.88805,0.93313,0.98242,0.96256,0.78168,0.55926,31.6367,0.6074,9.91726e-05,9.91726e-05,9.91726e-05
143,3269.24,0.90602,1.72245,0.89626,0.93189,0.98404,0.96283,0.77317,0.56555,31.0331,0.60766,8.97412e-05,8.97412e-05,8.97412e-05
144,3291.73,0.83672,1.75784,0.898,0.93189,0.98404,0.96283,0.77317,0.56555,31.0331,0.60766,8.03098e-05,8.03098e-05,8.03098e-05
145,3313.7,0.87265,1.71341,0.90795,0.93185,0.98474,0.96283,0.77283,0.56987,30.545,0.60747,7.08784e-05,7.08784e-05,7.08784e-05
146,3335.65,0.92468,2.0847,0.90417,0.93185,0.98474,0.96283,0.77283,0.56987,30.545,0.60747,6.1447e-05,6.1447e-05,6.1447e-05
147,3357.57,0.78581,1.73846,0.86905,0.93209,0.98502,0.96377,0.77557,0.5716,30.1657,0.60702,5.20156e-05,5.20156e-05,5.20156e-05
148,3380.91,0.90022,1.78592,0.8971,0.93345,0.983,0.96377,0.77165,0.57071,29.7051,0.60602,4.25842e-05,4.25842e-05,4.25842e-05
149,3403.22,0.80486,1.81783,0.89151,0.93345,0.983,0.96377,0.77165,0.57071,29.7051,0.60602,3.31528e-05,3.31528e-05,3.31528e-05
150,3425.29,0.85343,1.74947,0.87068,0.93384,0.98223,0.96377,0.77308,0.5698,29.7355,0.60565,2.37214e-05,2.37214e-05,2.37214e-05
